taxon_name,taxon_harmonised
abies,Abies
abrus,Abrus
acacia,Acacia
acacia_albizia,Faidherbia albida
acacia_ehrenbergiana_type,Acacia
acacia_gerrardii,Vachellia gerrardii
acacia_group_i,Acacia
acacia_group_iii,Acacia
acacia_kamerunensis_type,Acacia
acacia_type,Acacia
acacia_type_i,Acacia
acacia_type_iii,Acacia
acacia_type_type_ii,Acacia
acacia_type_type_iii,Acacia
acanthaceae_undiff,Acanthaceae
acanthophoenix_rubra,Acanthophoenix rubra
acer,Acer
acridocarpus,Acridocarpus
adansonia,Adansonia
adansonia_digitata,Adansonia digitata
adenia,Adenia
adenia_type,Adenia
adenium,Adenium
adenorandia_type_a_kalbreyeri,Adenorandia
adina,Adina
aeschynomene,Aeschynomene
aeschynomene_afraspera_type,Aeschynomene
aeschynomene_baumii_type,Aeschynomene
aeschynomene_type,Aeschynomene
aeschynomene_type_a_baumii,Aeschynomene
aeschynomene_type_baumii,Aeschynomene
aeschynomene_type_elaphroxylon,Aeschynomene
afraegle,Afraegle
afraegle_paniculata,Afraegle paniculata
afraegle_type_a_paniculata,Afraegle
afzelia,Afzelia
afzelia,Seymeria
afzelia_africana_type,Afzelia
afzelia_africana_type,Seymeria
afzelia_cf_a_africana,Afzelia
afzelia_cf_a_africana,Seymeria
aidia,Aidia
aidia_micrantha_type,Aidia
aidia_type,Aidia
aidia_type_a_micrantha,Aidia
aidia_type_micrantha,Aidia
alangium,Alangium
alangium_chinense,Alangium chinense
albizia,Albizia
albizia_type,Albizia
alchornea,Alchornea
alchornea_type,Alchornea
allophylus,Oreophoetes
allophylus_abyssinicus_type,Oreophoetes
allophylus_africanus,Allophylus africanus
allophylus_protea,Oreophoetes
allophylus_protea_faurea,Oreophoetes
allophylus_type,Oreophoetes
alnus,Alnus
alnus_glutinosa,Alnus glutinosa
aloe,Aloe
aloe_type,Aloe
alstonia,Alstonia
alstonia_boonei,Alstonia boonei
alstonia_type,Alstonia
alstonia_type_a_boonei,Alstonia
amanoa_type,Amanoa
anacardiaceae,Anacardiaceae
anacardiaceae_undiff,Anacardiaceae
anacardium,Anacardium
andrachne,Andrachne
aningeria_type,Pouteria
anisotes,Anisotes
anisotes_type,Anisotes
annonaceae,Annonaceae
annonaceae_undiff,Annonaceae
anogeissus,Anogeissus
anogeissus_type_a_leiocarpa,Anogeissus
anopyxis,Anopyxis
anopyxis_klaineana,Anopyxis klaineana
anopyxis_type,Anopyxis
anopyxis_type_klaineana,Anopyxis
anthocleista,Anthocleista
anthonotha_type,Anthonotha
anthostema,Anthostema
anthostema_senegalense,Anthostema senegalense
anthostema_type,Anthostema
antiaris_type,Antiaris
antiaris_type_a_toxicaria,Antiaris
antidesma,Antidesma
antidesma_type,Antidesma
antidesma_type_a_venosum,Antidesma
antidesma_venosum,Antidesma venosum
antrocaryon,Antrocaryon
antrocaryon_type,Antrocaryon
aphloia_theiformis,Aphloia theiformis
aphloia_type_theiformis,Aphloia
apodytes,Apodytes
apodytes_dimidiata,Apodytes dimidiata
aporrhiza,Aporrhiza
aporrhiza_type,Aporrhiza
arbutus,Arbutus
arbutus_unedo,Arbutus unedo
ardisia,Ardisia
arecaceae,Arecaceae
arecaceae_mauritius_type_132b_de_boer,Arecaceae
arecaceae_type_mauritius_type_127_de_boer,Arecaceae
arecaceae_type_mauritius_type_137_de_boer,Arecaceae
arecaceae_type_mauritius_type_139_de_boer,Arecaceae
arecaceae_type_tetrad_mauritius_type_2_de_boer,Arecaceae
arecaceae_undiff,Arecaceae
argania_spinosa,Sideroxylon spinosum
argyrella_type_canescens,Argyrella
arthrocaulon_type,Arthrocaulon
ascarina,Ascarina
astropanax_abyssinicus,Astropanax abyssinicus
astropanax_barteri,Astropanax barteri
astropanax_goetzenii_type,Astropanax
astropanax_mannii_type,Astropanax
astropanax_myrianthus,Astropanax myrianthus
avicennia,Avicennia
azima_tetracantha,Azima tetracantha
baikiaea,Baikiaea
bakerella,Eoscyllina
bakerella,Bakerella
bakerella_socratina_type,Eoscyllina
bakerella_socratina_type,Bakerella
balanites,Balanites
balanites_aegyptiaca_type,Balanites
balanites_rotudinfolia_type,Balanites
baphia_type,Baphia
baphiopsis_parviflora,Baphiopsis parviflora
baphiopsis_type_parviflora,Baphiopsis
barbeya_oleoides,Barbeya oleoides
barbeyaceae,Barbeyaceae
barleria,Barleria
barringtonia,Barringtonia
bauhinia,Bauhinia
berberis,Berberis
berlinia,Berlinia
berlinia_type,Berlinia
bersama,Bersama
bersama_abyssinica,Bersama abyssinica
bersama_abyssinica_type,Bersama
bertiera,Bertiera
bertiera_type,Bertiera
betula,Betula
bignoniaceae,Bignoniaceae
bismarckia_nobilis,Bismarckia nobilis
blepharis,Blepharis
blepharis_type,Blepharis
blighia,Blighia
blighia_type,Blighia
blighia_type_b_unijugata,Blighia
blighia_type_unijugata,Blighia
blighia_unijugata_type,Blighia
bombax,Bombax
bombax_buonopozense_type,Bombax
bombax_costatum_type,Bombax
borassus,Borassus
borassus_hyphaene,Borassus
borassus_type,Borassus
borassus_type_aethiopum,Borassus
borassus_type_b_aethiopum,Borassus
boscia_cadaba,Melita
boscia_type,Melita
boscia_type_angustifolia,Melita
boscia_type_salicifolia,Melita
bosqueia,Trilepisium
bosqueia_phoberos,Trilepisium madagascariense
boswellia,Boswellia
botryospermum,Bothriospermum
brachylaena,Brachylaena
brachystegia,Brachystegia
bridelia,Bridelia
bridelia_ferruginea_type,Bridelia
bridelia_micrantha,Bridelia micrantha
bridelia_micrantha_type,Bridelia
bridelia_scleroneura_type,Bridelia
bridelia_type,Bridelia
bridelia_type_b_scleroneura,Bridelia
bridelia_type_scleroneura,Bridelia
brucea,Brucea
brucea_antidysenterica,Brucea antidysenterica
bruguiera,Bruguiera
bruniaceae,Bruniaceae
buddleja,Buddleja
burkea,Burkea
burkea_africana,Burkea africana
burseraceae,Burseraceae
butyrospermum,Vitellaria
buxus,Buxus
buxus_hildebrandtii_type,Buxus
buxus_madagascarica,Buxus madagascarica
buxus_madagascarica_type,Buxus
cadaba,Cadaba
cadaba_type,Cadaba
caesalpinia_haematoxylum,Caesalpinia
caesalpinia_type,Caesalpinia
caesalpinioideae,Fabaceae
caesalpinioideae_undiff,Fabaceae
calligonum,Calligonum
calligonum_polygonoides,Calligonum polygonoides
calluna,Calluna
calpocalyx_type,Calpocalyx
calpocalyx_type_c_letestui,Calpocalyx
