taxon_name,neotoma_names,neotoma_names_clean
abies,Abies,Abies
abrus,Abrus,Abrus
acacia,Acacia,Acacia
acacia_albizia,Acacia/Albizia,Acacia Albizia
acacia_ehrenbergiana_type,Acacia ehrenbergiana-type,Acacia Ehrenbergiana-Type
acacia_gerrardii,Acacia gerrardii,Acacia Gerrardii
acacia_group_i,Acacia (group I),Acacia Group i)
acacia_group_iii,Acacia (group III),Acacia Group Iii)
acacia_kamerunensis_type,Acacia kamerunensis-type,Acacia Kamerunensis-Type
acacia_type,Acacia-type,Acacia Type
acacia_type_i,Acacia (type I),Acacia Type i)
acacia_type_iii,Acacia (type III),Acacia Type Iii)
acacia_type_type_ii,Acacia-type (type II),Acacia Type(Type Ii)
acacia_type_type_iii,Acacia-type (type III),Acacia Type(Type Iii)
acanthaceae_undiff,Acanthaceae undiff.,Acanthaceae Undiff
acanthophoenix_rubra,Acanthophoenix rubra,Acanthophoenix Rubra
acer,Acer,Acer
acridocarpus,Acridocarpus,Acridocarpus
adansonia,Adansonia,Adansonia
adansonia_digitata,Adansonia digitata,Adansonia Digitata
adenia,Adenia,Adenia
adenia_type,Adenia-type,Adenia Type
adenium,Adenium,Adenium
adenorandia_type_a_kalbreyeri,Adenorandia-type (A. kalbreyeri),Adenorandia Type(a Kalbreyeri)
adina,Adina,Adina
aeschynomene,Aeschynomene,Aeschynomene
aeschynomene_afraspera_type,Aeschynomene afraspera-type,Aeschynomene Afraspera-Type
aeschynomene_baumii_type,Aeschynomene baumii-type,Aeschynomene Baumii-Type
aeschynomene_type,Aeschynomene-type,Aeschynomene Type
aeschynomene_type_a_baumii,Aeschynomene-type (A. baumii),Aeschynomene Type(a Baumii)
aeschynomene_type_baumii,Aeschynomene-type baumii,Aeschynomene Type Baumii
aeschynomene_type_elaphroxylon,Aeschynomene-type elaphroxylon,Aeschynomene Type Elaphroxylon
afraegle,Afraegle,Afraegle
afraegle_paniculata,Afraegle paniculata,Afraegle Paniculata
afraegle_type_a_paniculata,Afraegle-type (A. paniculata),Afraegle Type(a Paniculata)
afzelia,Afzelia,Afzelia
afzelia_africana_type,Afzelia africana-type,Afzelia Africana-Type
afzelia_cf_a_africana,Afzelia cf. A. africana,Afzelia Cf a Africana
aidia,Aidia,Aidia
aidia_micrantha_type,Aidia micrantha-type,Aidia Micrantha-Type
aidia_type,Aidia-type,Aidia Type
aidia_type_a_micrantha,Aidia-type (A. micrantha),Aidia Type(a Micrantha)
aidia_type_micrantha,Aidia-type micrantha,Aidia Type Micrantha
alangium,Alangium,Alangium
alangium_chinense,Alangium chinense,Alangium Chinense
albizia,Albizia,Albizia
albizia_type,Albizia-type,Albizia Type
alchornea,Alchornea,Alchornea
alchornea_type,Alchornea-type,Alchornea Type
allophylus,Allophylus,Allophylus
allophylus_abyssinicus_type,Allophylus abyssinicus-type,Allophylus Abyssinicus-Type
allophylus_africanus,Allophylus africanus,Allophylus Africanus
allophylus_protea,Allophylus/Protea,Allophylus Protea
allophylus_protea_faurea,Allophylus/Protea/Faurea,Allophylus Protea/Faurea
allophylus_type,Allophylus-type,Allophylus Type
alnus,Alnus,Alnus
alnus_glutinosa,Alnus glutinosa,Alnus Glutinosa
aloe,Aloe,Aloe
aloe_type,Aloe-type,Aloe Type
alstonia,Alstonia,Alstonia
alstonia_boonei,Alstonia boonei,Alstonia Boonei
alstonia_type,Alstonia-type,Alstonia Type
alstonia_type_a_boonei,Alstonia-type (A. boonei),Alstonia Type(a Boonei)
amanoa_type,Amanoa-type,Amanoa Type
anacardiaceae,Anacardiaceae,Anacardiaceae
anacardiaceae_undiff,Anacardiaceae undiff.,Anacardiaceae Undiff
anacardium,Anacardium,Anacardium
andrachne,Andrachne,Andrachne
aningeria_type,Aningeria-type,Aningeria Type
anisotes,Anisotes,Anisotes
anisotes_type,Anisotes-type,Anisotes Type
annonaceae,Annonaceae,Annonaceae
annonaceae_undiff,Annonaceae undiff.,Annonaceae Undiff
anogeissus,Anogeissus,Anogeissus
anogeissus_type_a_leiocarpa,Anogeissus-type (A. leiocarpa),Anogeissus Type(a Leiocarpa)
anopyxis,Anopyxis,Anopyxis
anopyxis_klaineana,Anopyxis klaineana,Anopyxis Klaineana
anopyxis_type,Anopyxis-type,Anopyxis Type
anopyxis_type_klaineana,Anopyxis-type klaineana,Anopyxis Type Klaineana
anthocleista,Anthocleista,Anthocleista
anthonotha_type,Anthonotha-type,Anthonotha Type
anthostema,Anthostema,Anthostema
anthostema_senegalense,Anthostema senegalense,Anthostema Senegalense
anthostema_type,Anthostema-type,Anthostema Type
antiaris_type,Antiaris-type,Antiaris Type
