taxon_name,taxon_harmonised
abies,Abies
abies_alba,Abies alba
abies_undiff,Abies
acacia,Acacia
acer,Acer
acer_campestre,Acer campestre
acer_campestre_type,Acer
acer_negundo,Acer negundo
acer_negundo_type,Acer
acer_type,Acer
aesculus,Aesculus
aesculus_hippocastanum,Aesculus hippocastanum
aesculus_type,Aesculus
ailanthus,Ailanthus
ailanthus_altissima,Ailanthus altissima
alnus,Alnus
alnus_cf_a_glutinosa,Alnus
alnus_cf_a_suaveolens,Alnus
alnus_cf_a_viridis,Alnus
alnus_corroded,Alnus
alnus_glutinosa,Alnus glutinosa
alnus_glutinosa_a_incana,Alnus
alnus_glutinosa_type,Alnus
alnus_incana,Alnus incana
alnus_incana_type,Alnus
alnus_shrub_pale_shallow_pores,Alnus
alnus_sp,Alnus
alnus_subg_alnobetula,Alnus
alnus_tree_robust_deep_pores,Alnus
alnus_undiff,Alnus
alnus_viridis,Alnus alnobetula
alnus_viridis_subsp_suaveolens,Alnus viridis suaveolens
alnus_viridis_type,Alnus
andromeda,Andromeda
andromeda_polifolia,Andromeda polifolia
andromeda_type,Andromeda
arbutus,Arbutus
arbutus_unedo,Arbutus unedo
arceuthobium,Arceuthobium
arceuthobium_oxycedri,Arceuthobium oxycedri
arctostaphylos,Arctostaphylos
arctostaphylos_uva_minus_ursi,Arctostaphylos uva-ursi
arctostaphylos_uva_minus_ursi_type,Arctostaphylos
arctous_alpina,Arctostaphylos alpinus
berberidaceae,Berberidaceae
berberis,Berberis
berberis_type,Berberis
berberis_vulgaris,Berberis vulgaris
betula,Betula
betula_alnus_corylus_myrica_type_114_hd_v,Betula alnus
betula_carpinus,Betula
betula_cf_b_nana,Betula
betula_corroded,Betula
betula_corylus,Betula
betula_corylus_myrica,Betula
betula_excluding_b_nana,Betula
betula_fruticosa,Betula fruticosa
betula_humilis,Betula intermedia
betula_hybrid,Betula
betula_nana,Betula nana
betula_nana_type,Betula
betula_pendula,Betula pendula
betula_pendula_b_pubescens,Betula
betula_pubescens,Betula pubescens
betula_pubescens_type,Betula
betula_sect_apterocaryon,Betula
betula_sect_betula,Betula
betula_tree,Betula
betula_undiff,Betula
betulaceae,Betulaceae
bruckenthalia,Erica
bruckenthalia_type,Erica
buxus,Buxus
buxus_sempervirens,Buxus sempervirens
calicotome,Calicotome
calligonum,Calligonum
calluna,Calluna
calluna_vulgaris,Calluna vulgaris
calluna_vulgaris_type,Calluna
cannabaceae,Cannabaceae
cannabaceae_undiff,Cannabaceae
caprifoliaceae,Caprifoliaceae
caprifoliaceae_undiff,Caprifoliaceae
carpinus,Carpinus
carpinus_betulus,Carpinus betulus
carpinus_betulus_type,Carpinus
carpinus_corroded,Carpinus
carpinus_orientalis,Carpinus orientalis
carpinus_orientalis_type,Carpinus
carpinus_type,Carpinus
carya,Carya
carya_glabra_type,Carya
carya_tomentosa_type,Carya
carya_type,Carya
castanea,Castanea
castanea_sativa,Castanea sativa
castanea_type,Castanea
cedrus,Cedrus
cedrus_type,Cedrus
celastraceae,Celastraceae
celtis,Celtis
celtis_australis,Celtis australis
cephalanthus,Cephalanthus
ceratonia,Ceratonia
ceratonia,Ithomia
ceratonia_siliqua,Ceratonia siliqua
cercis,Cercis
cercis_siliquastrum,Cercis siliquastrum
cf_carpinus,Carpinus
cf_cedrus,Cedrus
cf_cytisus,Cytisus
cf_daphne,Daphne
cf_empetrum,Empetrum
cf_ephedra_fragilis,Ephedra fragilis
cf_ephedra_fragilis,Ephedra major
cf_ficus,Ficus
cf_frangula_alnus,Frangula alnus
cf_hippophae_rhamnoides,Hippophae rhamnoides
cf_ilex,Ilex
cf_juniperus,Juniperus
cf_larix,Larix
cf_larix_type,Larix
cf_lonicera,Lonicera
cf_myrica,Myrica
cf_myricaria_germanica,Myricaria germanica
cf_myrtus,Myrtus
cf_olea,Olea
cf_platanus,Platanus
cf_populus_tremula,Populus tremula
cf_prunus,Prunus
cf_pterocarya,Pterocarya
cf_quercus,Quercus
cf_rhamnus,Rhamnus
cf_rubus,Rubus
cf_rubus_chamaemorus,Rubus chamaemorus
cf_salix_herbacea,Salix herbacea
cf_salix_polaris,Salix polaris
cf_sambucus,Sambucus
cf_sambucus_nigra,Sambucus nigra
cf_sambucus_racemosa,Sambucus racemosa
cf_sorbus,Sorbus
cf_sorbus_aucuparia,Sorbus aucuparia
cf_taxus,Taxus
cf_viburnum,Viburnum
cf_viburnum_opulus,Viburnum opulus
cf_viscum,Viscum
cf_zelkova,Zelkova
chamaerops,Chamaerops
chamaerops_humilis,Chamaerops humilis
chrysophyllum,Chrysophyllum
cistus,Cistus
cistus_albidus_type,Cistus
cistus_cf_c_albidus,Cistus
cistus_monspeliensis_type,Cistus
cistus_type,Cistus
citrus,Citrus
coniferae_saccate,Coniferina
coniferae_type,Coniferina
coniferae_undiff,Coniferina
coriaria,Coriaria
coriaria_myrtifolia,Coriaria myrtifolia
cornaceae,Cornaceae
cornus,Cornus
cornus_cf_c_suecica,Cornus
cornus_mas,Cornus mas
cornus_mas_c_suecica,Cornus
cornus_mas_type,Cornus
cornus_sanguinea,Cornus sanguinea
cornus_sanguinea_type,Cornus
cornus_suecica,Cornus suecica
cornus_suecica_thick_wall,Cornus suecica
cornus_suecica_type,Cornus
corylus,Corylus
corylus_avellana,Corylus avellana
corylus_avellana_type,Corylus
corylus_corroded,Corylus
corylus_myrica,Corylus
corylus_myrica_undiff,Corylus
corylus_type,Corylus
cotinus_coggygria,Cotinus coggygria
cotinus_type,Cotinus
cotoneaster,Cotoneaster
crataegus,Crataegus
crataegus_monogyna,Crataegus monogyna
crataegus_type,Crataegus
cryptomeria,Cryptomeria
cupressaceae,Cupressaceae
cupressaceae_taxaceae,Cupressaceae
cupressaceae_type,Cupressaceae
cupressaceae_undiff,Cupressaceae
cupressus,Cupressus
cytisus,Cytisus
cytisus_genista_type,Cytisus
cytisus_grandiflorus,Cytisus grandiflorus
