taxon_name,neotoma_names,neotoma_names_clean
abies,Abies,Abies
abies_alba,Abies alba,Abies Alba
abies_undiff,Abies undiff.,Abies Undiff
acacia,Acacia,Acacia
acer,Acer,Acer
acer_campestre,Acer campestre,Acer Campestre
acer_campestre_type,Acer campestre-type,Acer Campestre-Type
acer_negundo,Acer negundo,Acer Negundo
acer_negundo_type,Acer negundo-type,Acer Negundo-Type
acer_type,Acer-type,Acer Type
aesculus,Aesculus,Aesculus
aesculus_hippocastanum,Aesculus hippocastanum,Aesculus Hippocastanum
aesculus_type,Aesculus-type,Aesculus Type
ailanthus,Ailanthus,Ailanthus
ailanthus_altissima,Ailanthus altissima,Ailanthus Altissima
alnus,Alnus,Alnus
alnus_cf_a_glutinosa,Alnus cf. A. glutinosa,Alnus Cf a Glutinosa
alnus_cf_a_suaveolens,Alnus cf. A. suaveolens,Alnus Cf a Suaveolens
alnus_cf_a_viridis,Alnus cf. A. viridis,Alnus Cf a Viridis
alnus_corroded,Alnus (corroded),Alnus Corroded)
alnus_glutinosa,Alnus glutinosa,Alnus Glutinosa
alnus_glutinosa_a_incana,Alnus glutinosa/A. incana,Alnus Glutinosa/a Incana
alnus_glutinosa_type,Alnus glutinosa-type,Alnus Glutinosa-Type
alnus_incana,Alnus incana,Alnus Incana
alnus_incana_type,Alnus incana-type,Alnus Incana-Type
alnus_shrub_pale_shallow_pores,"Alnus (shrub, pale shallow pores)","Alnus Shrub,Pale Shallow Pores)"
alnus_sp,Alnus sp.,Alnus Sp
alnus_subg_alnobetula,Alnus subg. Alnobetula,Alnus Subg Alnobetula
alnus_tree_robust_deep_pores,"Alnus (tree, robust deep pores)","Alnus Tree,Robust Deep Pores)"
alnus_undiff,Alnus undiff.,Alnus Undiff
alnus_viridis,Alnus viridis,Alnus Viridis
alnus_viridis_subsp_suaveolens,Alnus viridis subsp. suaveolens,Alnus Viridis Subsp Suaveolens
alnus_viridis_type,Alnus viridis-type,Alnus Viridis-Type
andromeda,Andromeda,Andromeda
andromeda_polifolia,Andromeda polifolia,Andromeda Polifolia
andromeda_type,Andromeda-type,Andromeda Type
arbutus,Arbutus,Arbutus
arbutus_unedo,Arbutus unedo,Arbutus Unedo
arceuthobium,Arceuthobium,Arceuthobium
arceuthobium_oxycedri,Arceuthobium oxycedri,Arceuthobium Oxycedri
arctostaphylos,Arctostaphylos,Arctostaphylos
arctostaphylos_uva_minus_ursi,Arctostaphylos uva-ursi,Arctostaphylos Uva-Ursi
arctostaphylos_uva_minus_ursi_type,Arctostaphylos uva-ursi-type,Arctostaphylos Uva-Ursi-Type
arctous_alpina,Arctous alpina,Arctous Alpina
berberidaceae,Berberidaceae,Berberidaceae
berberis,Berberis,Berberis
berberis_type,Berberis-type,Berberis Type
berberis_vulgaris,Berberis vulgaris,Berberis Vulgaris
betula,Betula,Betula
betula_alnus_corylus_myrica_type_114_hd_v,"Betula/Alnus/Corylus/Myrica (type 114, HdV)","Betula Alnus/Corylus/Myrica(Type 114,Hd v)"
betula_carpinus,Betula/Carpinus,Betula Carpinus
betula_cf_b_nana,Betula cf. B. nana,Betula Cf b Nana
betula_corroded,Betula (corroded),Betula Corroded)
betula_corylus,Betula/Corylus,Betula Corylus
betula_corylus_myrica,Betula/Corylus/Myrica,Betula Corylus/Myrica
betula_excluding_b_nana,Betula (excluding B. nana),Betula Excluding b Nana)
betula_fruticosa,Betula fruticosa,Betula Fruticosa
betula_humilis,Betula humilis,Betula Humilis
betula_hybrid,Betula (hybrid),Betula Hybrid)
betula_nana,Betula nana,Betula Nana
betula_nana_type,Betula nana-type,Betula Nana-Type
betula_pendula,Betula pendula,Betula Pendula
betula_pendula_b_pubescens,Betula pendula/B. pubescens,Betula Pendula/b Pubescens
betula_pubescens,Betula pubescens,Betula Pubescens
betula_pubescens_type,Betula pubescens-type,Betula Pubescens-Type
betula_sect_apterocaryon,Betula sect. Apterocaryon,Betula Sect Apterocaryon
betula_sect_betula,Betula sect. Betula,Betula Sect Betula
betula_tree,Betula (tree),Betula Tree)
betula_undiff,Betula undiff.,Betula Undiff
betulaceae,Betulaceae,Betulaceae
bruckenthalia,Bruckenthalia,Bruckenthalia
bruckenthalia_type,Bruckenthalia-type,Bruckenthalia Type
buxus,Buxus,Buxus
buxus_sempervirens,Buxus sempervirens,Buxus Sempervirens
calicotome,Calicotome,Calicotome
calligonum,Calligonum,Calligonum
calluna,Calluna,Calluna
calluna_vulgaris,Calluna vulgaris,Calluna Vulgaris
calluna_vulgaris_type,Calluna vulgaris-type,Calluna Vulgaris-Type
cannabaceae,Cannabaceae,Cannabaceae
cannabaceae_undiff,Cannabaceae undiff.,Cannabaceae Undiff
caprifoliaceae,Caprifoliaceae,Caprifoliaceae
caprifoliaceae_undiff,Caprifoliaceae undiff.,Caprifoliaceae Undiff
carpinus,Carpinus,Carpinus
carpinus_betulus,Carpinus betulus,Carpinus Betulus
carpinus_betulus_type,Carpinus betulus-type,Carpinus Betulus-Type
carpinus_corroded,Carpinus (corroded),Carpinus Corroded)
carpinus_orientalis,Carpinus orientalis,Carpinus Orientalis
carpinus_orientalis_type,Carpinus orientalis-type,Carpinus Orientalis-Type
carpinus_type,Carpinus-type,Carpinus Type
carya,Carya,Carya
carya_glabra_type,Carya glabra-type,Carya Glabra-Type
carya_tomentosa_type,Carya tomentosa-type,Carya Tomentosa-Type
carya_type,Carya-type,Carya Type
castanea,Castanea,Castanea
castanea_sativa,Castanea sativa,Castanea Sativa
castanea_type,Castanea-type,Castanea Type
cedrus,Cedrus,Cedrus
cedrus_type,Cedrus-type,Cedrus Type
