taxon_name,taxon_harmonised
abatia,Abatia
abies,Abies
acacia,Acacia
acacia_inga,Acacia
acacia_type,Acacia
acanthaceae_undiff,Acanthaceae
acer,Acer
acnistus,Acnistus
actinostemon,Actinostemon
actinostemon_concolor,Actinostemon concolor
adelobotrys,Adelobotrys
adelobotrys_type,Adelobotrys
adenopeltis,Adenopeltis
adesmia,Adesmia
adiscanthus,Adiscanthus
aechmea,Aechmea
aegiphila,Aegiphila
aegiphila_type,Aegiphila
aeschynomene,Aeschynomene
aetanthus,Aetanthus
aextoxicon_punctatum,Aextoxicon punctatum
aff_astronium,Eucosma
aff_casuarina,Eucosma
aff_colubrina,Eucosma
aff_dalechampia,Eucosma
aff_fissicalyx,Eucosma
aff_gaylussacia,Eucosma
aff_malvaceae,Eucosma
aff_melanoxylon,Eucosma
aff_posoqueria,Eucosma
aff_trichilia,Eucosma
aff_triumfetta,Eucosma
agarista,Agarista
agavoideae,Asparagaceae
alchornea,Alchornea
alchornea_conceveibum,Alchornea
alchornea_latifolia,Alchornea latifolia
alchornea_type,Alchornea
alchornea_type_1,Alchornea
alchornea_type_2,Alchornea
alchornea_type_3,Alchornea
alchornea_type_4,Alchornea
alchornea_type_a,Alchornea
alchorneopsis,Alchorneopsis
alchorneopsis_floribunda,Alchorneopsis floribunda
aldina,Aldina
alibertia,Alibertia
alibertia_amaioua,Alibertia
alibertia_type,Alibertia
allophylus,Oreophoetes
allophylus_type,Oreophoetes
alnus,Alnus
alnus_acuminata,Alnus acuminata
alnus_glutinosa,Alnus glutinosa
aloysia,Aloysia
alseis,Alseis
amaioua,Amaioua
amanoa,Amanoa
amyris,Amyris
anacardiaceae,Anacardiaceae
anacardiaceae_20_mu_m,Anacardiaceae
anacardiaceae_cf_loxopterygium,Anacardiaceae
anacardiaceae_cf_schinus,Anacardiaceae
anacardiaceae_cf_spondias,Anacardiaceae
anacardiaceae_type_16,Anacardiaceae
anacardiaceae_type_19,Anacardiaceae
anacardiaceae_type_20,Anacardiaceae
anacardiaceae_type_25,Anacardiaceae
anacardiaceae_type_30,Anacardiaceae
anacardiaceae_type_35,Anacardiaceae
anacardiaceae_type_i,Anacardiaceae
anacardiaceae_type_ii,Anacardiaceae
anacardiaceae_type_iii,Anacardiaceae
anacardiaceae_undiff,Anacardiaceae
anacardium,Anacardium
anacardium_type,Anacardium
anadenanthera,Anadenanthera
anadenanthera_polyad_type_16,Anadenanthera
anadenanthera_polyad_type_8,Anadenanthera
andira,Andira
andira_type,Andira
anemopaegma,Anemopaegma
annona,Annona
annona_sp,Annona
annona_type,Annona
annona_type_a,Annona
annona_type_b,Annona
annonaceae,Annonaceae
annonaceae_cf_annona,Annonaceae
annonaceae_undiff,Annonaceae
anthodiscus,Anthodiscus
anthodon,Anthodon
antidaphne,Antidaphne
antidaphne_type,Antidaphne
antirhea,Antirhea
apeiba,Apeiba
apeiba_tibourbou,Apeiba tibourbou
apeiba_type,Apeiba
apoplanesia,Apoplanesia
apuleia,Apuleia
apuleia_leiocarpa,Apuleia leiocarpa
apuleia_type,Apuleia
aquifoliaceae_undiff,Aquifoliaceae
araliaceae_cf_didymopanax,Araliaceae
araliaceae_cf_oreopanax,Araliaceae
araucaria,Araucaria
araucaria_angustifolia,Araucaria angustifolia
arcytophyllum,Arcytophyllum
ardisia,Ardisia
arecaceae,Arecaceae
arecaceae_bromeliaceae,Arecaceae
arecaceae_cf_desmoncus,Arecaceae
arecaceae_cf_euterpe,Arecaceae
arecaceae_cf_geonoma,Arecaceae
arecaceae_cf_oenocarpus,Arecaceae
arecaceae_cf_phytelephas,Arecaceae
arecaceae_echinate,Arecaceae
arecaceae_monocolpate,Arecaceae
arecaceae_pro_parte,Arecaceae
arecaceae_reticulate,Arecaceae
arecaceae_tricolpate,Arecaceae
arecaceae_type_1,Arecaceae
arecaceae_type_2,Arecaceae
arecaceae_type_5,Arecaceae
arecaceae_type_a,Arecaceae
arecaceae_type_b,Arecaceae
arecaceae_type_c,Arecaceae
arecaceae_type_d,Arecaceae
arecaceae_type_i,Arecaceae
arecaceae_type_ii,Arecaceae
arecaceae_type_iii,Arecaceae
arecaceae_type_iv,Arecaceae
arecaceae_type_v,Arecaceae
arecaceae_undiff,Arecaceae
aristotelia,Aristotelia
arrabidaea,Fridericia
arrabidaea_type_1,Fridericia
arrabidaea_type_2,Fridericia
artemisia_gochnatia,Artemisia
aspidosperma,Aspidosperma
aspidosperma_aff_a_album,Aspidosperma
aspidosperma_type,Aspidosperma
astrocaryum,Astrocaryum
astronium,Astronium
astronium_concinnum,Astronium concinnum
astronium_fraxinifolium,Astronium fraxinifolium
astronium_fraxinifolium_type_3,Astronium fraxinifolium
astronium_fraxinifolium_type_5,Astronium fraxinifolium
astronium_type,Astronium
austrocedrus,Austrocedrus
austrocedrus_chilensis_type,Austrocedrus
avicennia,Avicennia
avicennia_germinans,Avicennia germinans
ayenia,Ayenia
azara,Azara
azara,Erodona
bactris,Bactris
bactris_type,Bactris
balfourodendron,Balfourodendron
banara,Banara
banara_type,Banara
banara_xylosma,Banara
banara_xylosma_type,Banara
banisteriopsis,Banisteriopsis
bathysa,Bathysa
batis,Batis
bauhinia,Bauhinia
bauhinia_bicuspidata_type,Bauhinia
bauhinia_type,Bauhinia
belangera,Lamanonia
berberidaceae,Berberidaceae
berberis,Berberis
bernardia_cf_b_pulchella,Bernardia
bertiera,Bertiera
betulaceae,Betulaceae
bignonia,Bignonia
bignonia_cf_b_neoheterophylla,Bignonia
bignoniaceae,Bignoniaceae
bignoniaceae_undiff,Bignoniaceae
billia,Billia
blepharandra,Blepharandra
bocconia,Bocconia
bocconia_type,Bocconia
bocoa,Bocoa
bombacoideae,Malvaceae
bombacoideae_undiff,Malvaceae
bombacopsis,Pachira
bombax_type_2,Bombax
bombax_undiff,Bombax
bonamia,Bonamia
bonnetia,Bonnetia
boraginales_cf_cordia,Boraginales
borismene,Borismene
bowdichia,Bowdichia
bravaisia,Bravaisia
bravaisia_berlandieriana,Bravaisia berlandieriana
brosimum,Brosimum
brosimum_alicastrum,Brosimum alicastrum
browneopsis_ucayalina_smaller,Browneopsis ucayalina
brunellia,Brunellia
brunellia_type,Brunellia
buddleja,Buddleja
buddleja_type,Buddleja
bumelia,Bumelia
bumelia_type,Bumelia
bunchosia,Bunchosia
bursera,Bursera
bursera_simaruba,Bursera simaruba
burseraceae,Burseraceae
burseraceae_cf_protium,Burseraceae
burseraceae_undiff,Burseraceae
buxus,Buxus
byrsonima,Byrsonima
byrsonima_type,Byrsonima
byrsonima_type_1,Byrsonima
byttneria,Byttneria
byttneria_type,Byttneria
cabralea,Cabralea
cactaceae,Cactaceae
cactaceae_type,Cactaceae
caesalpinia,Caesalpinia
caesalpinia_cenostigma,Caesalpinia
caesalpinioideae,Fabaceae
caesalpinioideae_18_mu_m,Fabaceae
caesalpinioideae_26_mu_m,Fabaceae
caesalpinioideae_cf_senna,Fabaceae
caesalpinioideae_type_22,Fabaceae
caesalpinioideae_undiff,Fabaceae
calliandra,Calliandra
calophyllum,Calophyllum
calycobolus,Calycobolus
