taxon_name,neotoma_names,neotoma_names_clean
abatia,Abatia,Abatia
abies,Abies,Abies
acacia,Acacia,Acacia
acacia_inga,Acacia/Inga,Acacia Inga
acacia_type,Acacia-type,Acacia Type
acanthaceae_undiff,Acanthaceae undiff.,Acanthaceae Undiff
acer,Acer,Acer
acnistus,Acnistus,Acnistus
actinostemon,Actinostemon,Actinostemon
actinostemon_concolor,Actinostemon concolor,Actinostemon Concolor
adelobotrys,Adelobotrys,Adelobotrys
adelobotrys_type,Adelobotrys-type,Adelobotrys Type
adenopeltis,Adenopeltis,Adenopeltis
adesmia,Adesmia,Adesmia
adiscanthus,Adiscanthus,Adiscanthus
aechmea,Aechmea,Aechmea
aegiphila,Aegiphila,Aegiphila
aegiphila_type,Aegiphila-type,Aegiphila Type
aeschynomene,Aeschynomene,Aeschynomene
aetanthus,Aetanthus,Aetanthus
aextoxicon_punctatum,Aextoxicon punctatum,Aextoxicon Punctatum
aff_astronium,aff. Astronium,Aff Astronium
aff_casuarina,aff. Casuarina,Aff Casuarina
aff_colubrina,aff. Colubrina,Aff Colubrina
aff_dalechampia,aff. Dalechampia,Aff Dalechampia
aff_fissicalyx,aff. Fissicalyx,Aff Fissicalyx
aff_gaylussacia,aff. Gaylussacia,Aff Gaylussacia
aff_malvaceae,aff. Malvaceae,Aff Malvaceae
aff_melanoxylon,aff. Melanoxylon,Aff Melanoxylon
aff_posoqueria,aff. Posoqueria,Aff Posoqueria
aff_trichilia,aff. Trichilia,Aff Trichilia
aff_triumfetta,aff. Triumfetta,Aff Triumfetta
agarista,Agarista,Agarista
agavoideae,Agavoideae,Agavoideae
alchornea,Alchornea,Alchornea
alchornea_conceveibum,Alchornea/Conceveibum,Alchornea Conceveibum
alchornea_latifolia,Alchornea latifolia,Alchornea Latifolia
alchornea_type,Alchornea-type,Alchornea Type
alchornea_type_1,Alchornea (type 1),Alchornea Type 1)
alchornea_type_2,Alchornea (type 2),Alchornea Type 2)
alchornea_type_3,Alchornea (type 3),Alchornea Type 3)
alchornea_type_4,Alchornea (type 4),Alchornea Type 4)
alchornea_type_a,Alchornea (type A),Alchornea Type a)
alchorneopsis,Alchorneopsis,Alchorneopsis
alchorneopsis_floribunda,Alchorneopsis floribunda,Alchorneopsis Floribunda
aldina,Aldina,Aldina
alibertia,Alibertia,Alibertia
alibertia_amaioua,Alibertia/Amaioua,Alibertia Amaioua
alibertia_type,Alibertia-type,Alibertia Type
allophylus,Allophylus,Allophylus
allophylus_type,Allophylus-type,Allophylus Type
alnus,Alnus,Alnus
alnus_acuminata,Alnus acuminata,Alnus Acuminata
alnus_glutinosa,Alnus glutinosa,Alnus Glutinosa
aloysia,Aloysia,Aloysia
alseis,Alseis,Alseis
amaioua,Amaioua,Amaioua
amanoa,Amanoa,Amanoa
amyris,Amyris,Amyris
anacardiaceae,Anacardiaceae,Anacardiaceae
anacardiaceae_20_mu_m,Anacardiaceae (20 µm),Anacardiaceae 20 Mm)
anacardiaceae_cf_loxopterygium,Anacardiaceae cf. Loxopterygium,Anacardiaceae Cf Loxopterygium
anacardiaceae_cf_schinus,Anacardiaceae cf. Schinus,Anacardiaceae Cf Schinus
anacardiaceae_cf_spondias,Anacardiaceae cf. Spondias,Anacardiaceae Cf Spondias
anacardiaceae_type_16,Anacardiaceae (type 16),Anacardiaceae Type 16)
anacardiaceae_type_19,Anacardiaceae (type 19),Anacardiaceae Type 19)
anacardiaceae_type_20,Anacardiaceae (type 20),Anacardiaceae Type 20)
anacardiaceae_type_25,Anacardiaceae (type 25),Anacardiaceae Type 25)
anacardiaceae_type_30,Anacardiaceae (type 30),Anacardiaceae Type 30)
anacardiaceae_type_35,Anacardiaceae (type 35),Anacardiaceae Type 35)
anacardiaceae_type_i,Anacardiaceae (type I),Anacardiaceae Type i)
anacardiaceae_type_ii,Anacardiaceae (type II),Anacardiaceae Type Ii)
anacardiaceae_type_iii,Anacardiaceae (type III),Anacardiaceae Type Iii)
anacardiaceae_undiff,Anacardiaceae undiff.,Anacardiaceae Undiff
anacardium,Anacardium,Anacardium
anacardium_type,Anacardium-type,Anacardium Type
anadenanthera,Anadenanthera,Anadenanthera
anadenanthera_polyad_type_16,"Anadenanthera (polyad, type 16)","Anadenanthera Polyad,Type 16)"
anadenanthera_polyad_type_8,"Anadenanthera (polyad, type 8)","Anadenanthera Polyad,Type 8)"
andira,Andira,Andira
andira_type,Andira-type,Andira Type
anemopaegma,Anemopaegma,Anemopaegma
annona,Annona,Annona
annona_sp,Annona sp.,Annona Sp
annona_type,Annona-type,Annona Type
annona_type_a,Annona (type A),Annona Type a)
annona_type_b,Annona (type B),Annona Type b)
annonaceae,Annonaceae,Annonaceae
annonaceae_cf_annona,Annonaceae cf. Annona,Annonaceae Cf Annona
annonaceae_undiff,Annonaceae undiff.,Annonaceae Undiff
anthodiscus,Anthodiscus,Anthodiscus
anthodon,Anthodon,Anthodon
antidaphne,Antidaphne,Antidaphne
antidaphne_type,Antidaphne-type,Antidaphne Type
antirhea,Antirhea,Antirhea
apeiba,Apeiba,Apeiba
apeiba_tibourbou,Apeiba tibourbou,Apeiba Tibourbou
apeiba_type,Apeiba-type,Apeiba Type
apoplanesia,Apoplanesia,Apoplanesia
apuleia,Apuleia,Apuleia
apuleia_leiocarpa,Apuleia leiocarpa,Apuleia Leiocarpa
apuleia_type,Apuleia-type,Apuleia Type
aquifoliaceae_undiff,Aquifoliaceae undiff.,Aquifoliaceae Undiff
araliaceae_cf_didymopanax,Araliaceae cf. Didymopanax,Araliaceae Cf Didymopanax
araliaceae_cf_oreopanax,Araliaceae cf. Oreopanax,Araliaceae Cf Oreopanax
araucaria,Araucaria,Araucaria
araucaria_angustifolia,Araucaria angustifolia,Araucaria Angustifolia
arcytophyllum,Arcytophyllum,Arcytophyllum
ardisia,Ardisia,Ardisia
arecaceae,Arecaceae,Arecaceae
arecaceae_bromeliaceae,Arecaceae/Bromeliaceae,Arecaceae Bromeliaceae
arecaceae_cf_desmoncus,Arecaceae cf. Desmoncus,Arecaceae Cf Desmoncus
arecaceae_cf_euterpe,Arecaceae cf. Euterpe,Arecaceae Cf Euterpe
arecaceae_cf_geonoma,Arecaceae cf. Geonoma,Arecaceae Cf Geonoma
arecaceae_cf_oenocarpus,Arecaceae cf. Oenocarpus,Arecaceae Cf Oenocarpus
arecaceae_cf_phytelephas,Arecaceae cf. Phytelephas,Arecaceae Cf Phytelephas
arecaceae_echinate,Arecaceae (echinate),Arecaceae Echinate)
arecaceae_monocolpate,Arecaceae (monocolpate),Arecaceae Monocolpate)
arecaceae_pro_parte,Arecaceae pro parte,Arecaceae Pro Parte
arecaceae_reticulate,Arecaceae (reticulate),Arecaceae Reticulate)
arecaceae_tricolpate,Arecaceae (tricolpate),Arecaceae Tricolpate)
arecaceae_type_1,Arecaceae (type 1),Arecaceae Type 1)
arecaceae_type_2,Arecaceae (type 2),Arecaceae Type 2)
arecaceae_type_5,Arecaceae (type 5),Arecaceae Type 5)
arecaceae_type_a,Arecaceae (type A),Arecaceae Type a)
arecaceae_type_b,Arecaceae (type B),Arecaceae Type b)
arecaceae_type_c,Arecaceae (type C),Arecaceae Type c)
arecaceae_type_d,Arecaceae (type D),Arecaceae Type d)
arecaceae_type_i,Arecaceae (type I),Arecaceae Type i)
arecaceae_type_ii,Arecaceae (type II),Arecaceae Type Ii)
arecaceae_type_iii,Arecaceae (type III),Arecaceae Type Iii)
arecaceae_type_iv,Arecaceae (type IV),Arecaceae Type Iv)
arecaceae_type_v,Arecaceae (type V),Arecaceae Type v)
arecaceae_undiff,Arecaceae undiff.,Arecaceae Undiff
aristotelia,Aristotelia,Aristotelia
arrabidaea,Arrabidaea,Arrabidaea
arrabidaea_type_1,Arrabidaea (type 1),Arrabidaea Type 1)
arrabidaea_type_2,Arrabidaea (type 2),Arrabidaea Type 2)
artemisia_gochnatia,Artemisia/Gochnatia,Artemisia Gochnatia
aspidosperma,Aspidosperma,Aspidosperma
aspidosperma_aff_a_album,Aspidosperma aff. A. album,Aspidosperma Aff a Album
aspidosperma_type,Aspidosperma-type,Aspidosperma Type
astrocaryum,Astrocaryum,Astrocaryum
astronium,Astronium,Astronium
astronium_concinnum,Astronium concinnum,Astronium Concinnum
astronium_fraxinifolium,Astronium fraxinifolium,Astronium Fraxinifolium
astronium_fraxinifolium_type_3,Astronium fraxinifolium (type 3),Astronium Fraxinifolium(Type 3)
astronium_fraxinifolium_type_5,Astronium fraxinifolium (type 5),Astronium Fraxinifolium(Type 5)
astronium_type,Astronium-type,Astronium Type
austrocedrus,Austrocedrus,Austrocedrus
austrocedrus_chilensis_type,Austrocedrus chilensis-type,Austrocedrus Chilensis-Type
avicennia,Avicennia,Avicennia
avicennia_germinans,Avicennia germinans,Avicennia Germinans
ayenia,Ayenia,Ayenia
azara,Azara,Azara
bactris,Bactris,Bactris
bactris_type,Bactris-type,Bactris Type
balfourodendron,Balfourodendron,Balfourodendron
banara,Banara,Banara
banara_type,Banara-type,Banara Type
banara_xylosma,Banara/Xylosma,Banara Xylosma
banara_xylosma_type,Banara/Xylosma-type,Banara Xylosma-Type
banisteriopsis,Banisteriopsis,Banisteriopsis
bathysa,Bathysa,Bathysa
batis,Batis,Batis
bauhinia,Bauhinia,Bauhinia
bauhinia_bicuspidata_type,Bauhinia bicuspidata-type,Bauhinia Bicuspidata-Type
bauhinia_type,Bauhinia-type,Bauhinia Type
belangera,Belangera,Belangera
berberidaceae,Berberidaceae,Berberidaceae
berberis,Berberis,Berberis
bernardia_cf_b_pulchella,Bernardia cf. B. pulchella,Bernardia Cf b Pulchella
bertiera,Bertiera,Bertiera
betulaceae,Betulaceae,Betulaceae
bignonia,Bignonia,Bignonia
bignonia_cf_b_neoheterophylla,Bignonia cf. B. neoheterophylla,Bignonia Cf b Neoheterophylla
bignoniaceae,Bignoniaceae,Bignoniaceae
bignoniaceae_undiff,Bignoniaceae undiff.,Bignoniaceae Undiff
billia,Billia,Billia
blepharandra,Blepharandra,Blepharandra
bocconia,Bocconia,Bocconia
bocconia_type,Bocconia-type,Bocconia Type
bocoa,Bocoa,Bocoa
bombacoideae,Bombacoideae,Bombacoideae
bombacoideae_undiff,Bombacoideae undiff.,Bombacoideae Undiff
bombacopsis,Bombacopsis,Bombacopsis
bombax_type_2,Bombax (type 2),Bombax Type 2)
bombax_undiff,Bombax undiff.,Bombax Undiff
bonamia,Bonamia,Bonamia
bonnetia,Bonnetia,Bonnetia
boraginales_cf_cordia,Boraginales  cf. Cordia,Boraginales Cf Cordia
borismene,Borismene,Borismene
bowdichia,Bowdichia,Bowdichia
bravaisia,Bravaisia,Bravaisia
