taxon_name,taxon_harmonised
abies,Abies
abies_balsamea,Abies balsamea
abies_lasiocarpa,Abies lasiocarpa
acacia,Acacia
acacia_type,Acacia
acer,Acer
acer_cf_a_glabrum,Acer
acer_cf_a_negundo,Acer
acer_cf_a_pensylvanicum,Acer
acer_circinatum,Acer circinatum
acer_circinatum_type,Acer
acer_glabrum,Acer glabrum
acer_macrophyllum,Acer macrophyllum
acer_macrophyllum_type,Acer
acer_negundo,Acer negundo
acer_negundo_type,Acer
acer_nigrum,Acer nigrum
acer_pensylvanicum,Acer pensylvanicum
acer_rubrum,Acer rubrum
acer_rubrum_type,Acer
acer_saccharinum,Acer saccharinum
acer_saccharinum_type,Acer
acer_saccharum,Acer saccharum
acer_saccharum_type,Acer
acer_sp,Acer
acer_spicatum,Acer spicatum
acer_type,Acer
acer_undiff,Acer
adenostoma,Adenostoma
adenostoma_fasciculatum,Adenostoma fasciculatum
adenostoma_sparsifolium,Adenostoma sparsifolium
aesculus,Aesculus
agave,Agave
ailanthus,Ailanthus
allenrolfea_occidentalis,Allenrolfea occidentalis
alnus,Alnus
alnus_hexaporate,Alnus
alnus_incana,Alnus incana
alnus_incana_type,Alnus
alnus_pentaporate,Alnus
alnus_rhombifolia_type,Alnus
alnus_rubra,Alnus rubra
alnus_rubra_type,Alnus
alnus_serrulata_type,Alnus
alnus_tetraporate,Alnus
alnus_triporate,Alnus
alnus_undiff,Alnus
alnus_viridis,Alnus alnobetula
alnus_viridis_subsp_crispa,Alnus viridis crispa
alnus_viridis_subsp_crispa_type,Alnus alnobetula
alnus_viridis_subsp_sinuata,Alnus viridis sinuata
alnus_viridis_subsp_sinuata_type,Alnus alnobetula
alnus_viridis_type,Alnus
amelanchier,Amelanchier
amelanchier_type,Amelanchier
amorpha_fruticosa,Amorpha fruticosa
anacardiaceae,Anacardiaceae
anacardiaceae_undiff,Anacardiaceae
andromeda,Andromeda
andromeda_polifolia,Andromeda polifolia
andromeda_polifolia_var_latifolia,Andromeda polifolia latifolia
annona,Annona
annonaceae,Annonaceae
aquifoliaceae,Aquifoliaceae
arceuthobium,Arceuthobium
arceuthobium_loranthaceae,Arceuthobium
arctostaphylos,Arctostaphylos
arctostaphylos_uva_minus_ursi,Arctostaphylos uva-ursi
arctous_alpina_a_rubra,Arctous
arecaceae,Arecaceae
arecaceae_type_undiff,Arecaceae
arecaceae_undiff,Arecaceae
asimina,Asimina
avicennia,Avicennia
batis,Batis
berberidaceae,Berberidaceae
berberis,Berberis
berberis_repens,Mahonia repens
berberis_type,Berberis
berchemia_scandens,Berchemia scandens
betula,Betula
betula_20_minus_25_mu_m,Betula
betula_bigger_than_20_mu_m,Betula
betula_bigger_than_25_mu_m,Betula
betula_det_shrub,Betula
betula_det_tree,Betula
betula_glandulosa,Betula glandulosa
betula_glandulosa_type,Betula
betula_large,Betula
betula_myrica,Betula
betula_nana,Betula nana
