taxon_name,neotoma_names,neotoma_names_clean
abies,Abies,Abies
abies_balsamea,Abies balsamea,Abies Balsamea
abies_lasiocarpa,Abies lasiocarpa,Abies Lasiocarpa
acacia,Acacia,Acacia
acacia_type,Acacia-type,Acacia Type
acer,Acer,Acer
acer_cf_a_glabrum,Acer cf. A. glabrum,Acer Cf a Glabrum
acer_cf_a_negundo,Acer cf. A. negundo,Acer Cf a Negundo
acer_cf_a_pensylvanicum,Acer cf. A. pensylvanicum,Acer Cf a Pensylvanicum
acer_circinatum,Acer circinatum,Acer Circinatum
acer_circinatum_type,Acer circinatum-type,Acer Circinatum-Type
acer_glabrum,Acer glabrum,Acer Glabrum
acer_macrophyllum,Acer macrophyllum,Acer Macrophyllum
acer_macrophyllum_type,Acer macrophyllum-type,Acer Macrophyllum-Type
acer_negundo,Acer negundo,Acer Negundo
acer_negundo_type,Acer negundo-type,Acer Negundo-Type
acer_nigrum,Acer nigrum,Acer Nigrum
acer_pensylvanicum,Acer pensylvanicum,Acer Pensylvanicum
acer_rubrum,Acer rubrum,Acer Rubrum
acer_rubrum_type,Acer rubrum-type,Acer Rubrum-Type
acer_saccharinum,Acer saccharinum,Acer Saccharinum
acer_saccharinum_type,Acer saccharinum-type,Acer Saccharinum-Type
acer_saccharum,Acer saccharum,Acer Saccharum
acer_saccharum_type,Acer saccharum-type,Acer Saccharum-Type
acer_sp,Acer sp.,Acer Sp
acer_spicatum,Acer spicatum,Acer Spicatum
acer_type,Acer-type,Acer Type
acer_undiff,Acer undiff.,Acer Undiff
adenostoma,Adenostoma,Adenostoma
adenostoma_fasciculatum,Adenostoma fasciculatum,Adenostoma Fasciculatum
adenostoma_sparsifolium,Adenostoma sparsifolium,Adenostoma Sparsifolium
aesculus,Aesculus,Aesculus
agave,Agave,Agave
ailanthus,Ailanthus,Ailanthus
allenrolfea_occidentalis,Allenrolfea occidentalis,Allenrolfea Occidentalis
alnus,Alnus,Alnus
alnus_hexaporate,Alnus (hexaporate),Alnus Hexaporate)
alnus_incana,Alnus incana,Alnus Incana
alnus_incana_type,Alnus incana-type,Alnus Incana-Type
alnus_pentaporate,Alnus (pentaporate),Alnus Pentaporate)
alnus_rhombifolia_type,Alnus rhombifolia-type,Alnus Rhombifolia-Type
alnus_rubra,Alnus rubra,Alnus Rubra
alnus_rubra_type,Alnus rubra-type,Alnus Rubra-Type
alnus_serrulata_type,Alnus serrulata-type,Alnus Serrulata-Type
alnus_tetraporate,Alnus (tetraporate),Alnus Tetraporate)
alnus_triporate,Alnus (triporate),Alnus Triporate)
alnus_undiff,Alnus undiff.,Alnus Undiff
alnus_viridis,Alnus viridis,Alnus Viridis
