neotoma_names,taxon_name
Abatia,abatia
Abies,abies
Abies alba,abies_alba
Abies balsamea,abies_balsamea
Abies lasiocarpa,abies_lasiocarpa
Abies sibirica,abies_sibirica
Abies undiff.,abies_undiff
Abrus,abrus
Acacia,acacia
Acacia-type,acacia_type
Acacia-type (type II),acacia_type_type_ii
Acacia-type (type III),acacia_type_type_iii
"Acacia (Acacia vulgaris, Maley 1981)",acacia_acacia_vulgaris_maley_1981
Acacia (group I),acacia_group_i
Acacia (group III),acacia_group_iii
Acacia (type I),acacia_type_i
Acacia (type III),acacia_type_iii
Acacia albida,acacia_albida
Acacia ehrenbergiana,acacia_ehrenbergiana
Acacia ehrenbergiana-type,acacia_ehrenbergiana_type
Acacia gerrardii,acacia_gerrardii
Acacia kamerunensis-type,acacia_kamerunensis_type
Acacia karroo,acacia_karroo
Acacia nilotica,acacia_nilotica
Acacia polyacantha,acacia_polyacantha
Acacia tortilis var. raddiana,acacia_tortilis_var_raddiana
Acacia/Albizia,acacia_albizia
Acacia/Inga,acacia_inga
Acanthaceae undiff.,acanthaceae_undiff
Acanthophoenix rubra,acanthophoenix_rubra
Acer,acer
Acer-type,acer_type
Acer campestre,acer_campestre
Acer campestre-type,acer_campestre_type
Acer cf. A. glabrum,acer_cf_a_glabrum
Acer cf. A. negundo,acer_cf_a_negundo
Acer cf. A. pensylvanicum,acer_cf_a_pensylvanicum
Acer circinatum,acer_circinatum
Acer circinatum-type,acer_circinatum_type
Acer glabrum,acer_glabrum
Acer macrophyllum,acer_macrophyllum
Acer macrophyllum-type,acer_macrophyllum_type
Acer negundo,acer_negundo
Acer negundo-type,acer_negundo_type
Acer nigrum,acer_nigrum
Acer pensylvanicum,acer_pensylvanicum
Acer rubrum,acer_rubrum
Acer rubrum-type,acer_rubrum_type
Acer saccharinum,acer_saccharinum
Acer saccharinum-type,acer_saccharinum_type
Acer saccharum,acer_saccharum
Acer saccharum-type,acer_saccharum_type
Acer sp.,acer_sp
Acer spicatum,acer_spicatum
Acer undiff.,acer_undiff
Acmena,acmena
Acnistus,acnistus
Acridocarpus,acridocarpus
Acronychia,acronychia
Acronychia comp.,acronychia_comp
Actinostemon,actinostemon
Actinostemon concolor,actinostemon_concolor
Adansonia,adansonia
Adansonia digitata,adansonia_digitata
Adelobotrys,adelobotrys
Adelobotrys-type,adelobotrys_type
Adenia,adenia
Adenia-type,adenia_type
Adenium,adenium
Adenopeltis,adenopeltis
Adenorandia-type (A. kalbreyeri),adenorandia_type_a_kalbreyeri
Adenostoma,adenostoma
Adenostoma fasciculatum,adenostoma_fasciculatum
Adenostoma sparsifolium,adenostoma_sparsifolium
Adesmia,adesmia
Adina,adina
Adiscanthus,adiscanthus
Aechmea,aechmea
Aegiceras,aegiceras
Aegiphila,aegiphila
Aegiphila-type,aegiphila_type
Aeschynomene,aeschynomene
Aeschynomene-type,aeschynomene_type
Aeschynomene-type (A. baumii),aeschynomene_type_a_baumii
Aeschynomene-type baumii,aeschynomene_type_baumii
Aeschynomene-type elaphroxylon,aeschynomene_type_elaphroxylon
Aeschynomene afraspera-type,aeschynomene_afraspera_type
Aeschynomene baumii-type,aeschynomene_baumii_type
Aesculus,aesculus
Aesculus-type,aesculus_type
Aesculus hippocastanum,aesculus_hippocastanum
Aetanthus,aetanthus
Aextoxicon punctatum,aextoxicon_punctatum
aff. Astronium,aff_astronium
aff. Casuarina,aff_casuarina
aff. Colubrina,aff_colubrina
aff. Dalechampia,aff_dalechampia
aff. Fissicalyx,aff_fissicalyx
aff. Gaylussacia,aff_gaylussacia
aff. Malvaceae,aff_malvaceae
aff. Melanoxylon,aff_melanoxylon
aff. Posoqueria,aff_posoqueria
aff. Trichilia,aff_trichilia
aff. Triumfetta,aff_triumfetta
Afraegle,afraegle
Afraegle-type (A. paniculata),afraegle_type_a_paniculata
Afraegle paniculata,afraegle_paniculata
Afrocayratia ibuensis,afrocayratia_ibuensis
Afzelia,afzelia
Afzelia africana-type,afzelia_africana_type
Afzelia cf. A. africana,afzelia_cf_a_africana
Agarista,agarista
Agastachys,agastachys
Agastachys odorata,agastachys_odorata
Agathis,agathis
Agathis australis,agathis_australis
Agave,agave
Agavoideae,agavoideae
Aglaia-type,aglaia_type
Aidia,aidia
Aidia-type,aidia_type
Aidia-type (A. micrantha),aidia_type_a_micrantha
Aidia-type micrantha,aidia_type_micrantha
Aidia micrantha-type,aidia_micrantha_type
Ailanthus,ailanthus
Ailanthus altissima,ailanthus_altissima
Alangium,alangium
Alangium chinense,alangium_chinense
Albizia,albizia
Albizia-type,albizia_type
Alchornea,alchornea
Alchornea-type,alchornea_type
Alchornea (type 1),alchornea_type_1
Alchornea (type 2),alchornea_type_2
Alchornea (type 3),alchornea_type_3
Alchornea (type 4),alchornea_type_4
Alchornea (type A),alchornea_type_a
Alchornea cordifolia,alchornea_cordifolia
Alchornea latifolia,alchornea_latifolia
Alchornea/Conceveibum,alchornea_conceveibum
Alchorneopsis,alchorneopsis
Alchorneopsis floribunda,alchorneopsis_floribunda
Aldina,aldina
Aleurites,aleurites
Alibertia,alibertia
Alibertia-type,alibertia_type
Alibertia/Amaioua,alibertia_amaioua
Allenrolfea occidentalis,allenrolfea_occidentalis
Allocasuarina,allocasuarina
Allophylus,allophylus
Allophylus-type,allophylus_type
Allophylus abyssinicus-type,allophylus_abyssinicus_type
Allophylus africanus,allophylus_africanus
Allophylus/Protea,allophylus_protea
Allophylus/Protea/Faurea,allophylus_protea_faurea
Alnus,alnus
Alnus (corroded),alnus_corroded
Alnus (hexaporate),alnus_hexaporate
Alnus (pentaporate),alnus_pentaporate
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores
Alnus (tetraporate),alnus_tetraporate
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores
Alnus (triporate),alnus_triporate
Alnus acuminata,alnus_acuminata
Alnus cf. A. glutinosa,alnus_cf_a_glutinosa
Alnus cf. A. incana,alnus_cf_a_incana
Alnus cf. A. suaveolens,alnus_cf_a_suaveolens
Alnus cf. A. viridis,alnus_cf_a_viridis
Alnus glutinosa,alnus_glutinosa
Alnus glutinosa-type,alnus_glutinosa_type
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana
Alnus hirsuta,alnus_hirsuta
Alnus hirsuta-type,alnus_hirsuta_type
Alnus incana,alnus_incana
Alnus incana-type,alnus_incana_type
Alnus rhombifolia-type,alnus_rhombifolia_type
Alnus rubra,alnus_rubra
Alnus rubra-type,alnus_rubra_type
Alnus serrulata-type,alnus_serrulata_type
Alnus sp.,alnus_sp
Alnus subg. Alnobetula,alnus_subg_alnobetula
Alnus undiff.,alnus_undiff
Alnus viridis,alnus_viridis
Alnus viridis-type,alnus_viridis_type
Alnus viridis subsp. crispa,alnus_viridis_subsp_crispa
Alnus viridis subsp. crispa-type,alnus_viridis_subsp_crispa_type
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa
Alnus viridis subsp. fruticosa-type,alnus_viridis_subsp_fruticosa_type
Alnus viridis subsp. sinuata,alnus_viridis_subsp_sinuata
