dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,end_of_interest_period,source_of_data,data_publicity,doi
1001,HAIL,970,Hail Lake,-129.01667,60.03333,NA,Glacial Origin Lake,North America,Canada,North America,77,74,11733,8,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n31d9w
1003,HANGING,972,Hanging Lake,-138.38333,68.38333,NA,Lacustrine,North America,Canada,North America,79,0,19508,22,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n35s6s
1006,HARDING,975,Harding Lake,-146.9075,64.44444,NA,Lacustrine,North America,United States,North America,25,36,16266,5,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3hf05
1008,HARRIE,977,Harrie Lake,-66.95,52.93333,NA,Glacial Scour Lake,North America,Canada,North America,31,-4,7052,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n37x41
1033,HEN,1000,Tourbière de Lanoraie HENRI,-73.3,45.98889,NA,Bog,North America,Canada,North America,26,267,7175,5,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3j71s
10967,NESRS,6505,Northeast Shark River Slough,-80.58386,25.74642,NA,Marsh,North America,United States,North America,18,68,3815,8,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/je2r-dk10
1104,HIDDEN,1071,Hidden Lake,-150.32555,60.46562,NA,Glacial Scour Lake,North America,United States,North America,29,42,16278.5,6,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3c717
1105,HIGHLAKE,1072,High Lake,-76.6,44.51667,NA,Glacial Origin Lake,North America,Canada,North America,191,0,10984.5,8,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n37d9r
1107,HONEYMOO,1074,Honeymoon Pond,-138.4,64.63333,NA,Glacial Origin Lake,North America,Canada,North America,69,313,10586,15,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n33q7v
1135,HUMBER3,1102,Humber Pond 3,-79.48,43.64,NA,Fluvial Origin Lake,North America,Canada,North America,5,221.5,4429.5,5,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3562d
1138,HUSTLER,1105,Hustler Lake,-92.16932,48.21758,NA,Glacial Origin Lake,North America,United States,North America,16,-36,119,33,Calendar years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3c149
1148,INDIANPF,1114,Indian Prairie Fen,-122.575,44.63333,NA,Fen,North America,United States,North America,49,372,14803.5,7,Radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n36b0b
1152,IRONBOG,1118,Keystone Iron Fen,-107.03333,38.865,NA,Fen,North America,United States,North America,30,-4,9095.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_2,20000,Neotoma,open,10.21233/n3704q
1154,ITAPEVA,1120,Morro de Itapeva,-45.53333,-22.78333,NA,Bog,Latin America,Brazil,Latin America,21,-44,9602,6,Radiocarbon years BP,SHCal20,sh_zone_1_2,20000,Neotoma,open,10.21233/n3jm87
1155,IVAN3,1121,Ivanovskoye Peat Bog,38.76667,56.81667,NA,Palustrine,Asia,Russia,Asia,25,833.5,8786,9,Calibrated radiocarbon years BP,intcal20,nh_zone_1,20000,Neotoma,open,10.21233/n3dt69
